filename,p0,p1,p2,p3,p4,p5,p6,p7,p8
101010101_010.png,1,0,1,0,1,0,1,0,1
011010110_003.png,0,1,1,0,1,0,1,1,0
000001100_008.png,0,0,0,0,0,1,1,0,0
001011000_012.png,0,0,1,0,1,1,0,0,0
101101100_009.png,1,0,1,1,0,1,1,0,0
101001101_007.png,1,0,1,0,0,1,1,0,1
100101010_015.png,1,0,0,1,0,1,0,1,0
010101001_006.png,0,1,0,1,0,1,0,0,1
111011001_017.png,1,1,1,0,1,1,0,0,1
111010010_019.png,1,1,1,0,1,0,0,1,0
101100001_013.png,1,0,1,1,0,0,0,0,1
001010101_012.png,0,0,1,0,1,0,1,0,1
001010000_018.png,0,0,1,0,1,0,0,0,0
010010111_010.png,0,1,0,0,1,0,1,1,1
100101011_005.png,1,0,0,1,0,1,0,1,1
111011110_010.png,1,1,1,0,1,1,1,1,0
110100110_017.png,1,1,0,1,0,0,1,1,0
110011010_013.png,1,1,0,0,1,1,0,1,0
000101111_015.png,0,0,0,1,0,1,1,1,1
100110011_018.png,1,0,0,1,1,0,0,1,1
110111011_016.png,1,1,0,1,1,1,0,1,1
110001111_001.png,1,1,0,0,0,1,1,1,1
101000100_012.png,1,0,1,0,0,0,1,0,0
001010011_010.png,0,0,1,0,1,0,0,1,1
010000110_013.png,0,1,0,0,0,0,1,1,0
101011101_017.png,1,0,1,0,1,1,1,0,1
010101011_002.png,0,1,0,1,0,1,0,1,1
010101110_008.png,0,1,0,1,0,1,1,1,0
111100110_008.png,1,1,1,1,0,0,1,1,0
011000101_013.png,0,1,1,0,0,0,1,0,1
101101101_000.png,1,0,1,1,0,1,1,0,1
000100010_007.png,0,0,0,1,0,0,0,1,0
011101001_011.png,0,1,1,1,0,1,0,0,1
010110110_000.png,0,1,0,1,1,0,1,1,0
100100010_014.png,1,0,0,1,0,0,0,1,0
001011000_009.png,0,0,1,0,1,1,0,0,0
100000101_003.png,1,0,0,0,0,0,1,0,1
101101110_003.png,1,0,1,1,0,1,1,1,0
010110001_002.png,0,1,0,1,1,0,0,0,1
110101110_013.png,1,1,0,1,0,1,1,1,0
011000100_018.png,0,1,1,0,0,0,1,0,0
000100011_009.png,0,0,0,1,0,0,0,1,1
001111101_005.png,0,0,1,1,1,1,1,0,1
001010101_005.png,0,0,1,0,1,0,1,0,1
000111010_015.png,0,0,0,1,1,1,0,1,0
100011110_002.png,1,0,0,0,1,1,1,1,0
000010010_017.png,0,0,0,0,1,0,0,1,0
101010110_018.png,1,0,1,0,1,0,1,1,0
010110001_009.png,0,1,0,1,1,0,0,0,1
000111110_016.png,0,0,0,1,1,1,1,1,0
100100110_005.png,1,0,0,1,0,0,1,1,0
110010111_007.png,1,1,0,0,1,0,1,1,1
110001010_000.png,1,1,0,0,0,1,0,1,0
111011110_006.png,1,1,1,0,1,1,1,1,0
011011010_006.png,0,1,1,0,1,1,0,1,0
101100110_005.png,1,0,1,1,0,0,1,1,0
110000001_006.png,1,1,0,0,0,0,0,0,1
011010100_016.png,0,1,1,0,1,0,1,0,0
000000000_007.png,0,0,0,0,0,0,0,0,0
110101010_013.png,1,1,0,1,0,1,0,1,0
001011111_015.png,0,0,1,0,1,1,1,1,1
000001110_000.png,0,0,0,0,0,1,1,1,0
000110010_007.png,0,0,0,1,1,0,0,1,0
111001100_016.png,1,1,1,0,0,1,1,0,0
110010011_013.png,1,1,0,0,1,0,0,1,1
001110010_005.png,0,0,1,1,1,0,0,1,0
011001101_007.png,0,1,1,0,0,1,1,0,1
010101011_007.png,0,1,0,1,0,1,0,1,1
100110110_006.png,1,0,0,1,1,0,1,1,0
010110010_010.png,0,1,0,1,1,0,0,1,0
100111000_009.png,1,0,0,1,1,1,0,0,0
101110010_014.png,1,0,1,1,1,0,0,1,0
000000011_010.png,0,0,0,0,0,0,0,1,1
001110111_013.png,0,0,1,1,1,0,1,1,1
101110000_004.png,1,0,1,1,1,0,0,0,0
001100111_011.png,0,0,1,1,0,0,1,1,1
000001111_013.png,0,0,0,0,0,1,1,1,1
001001101_006.png,0,0,1,0,0,1,1,0,1
001111000_007.png,0,0,1,1,1,1,0,0,0
000110101_002.png,0,0,0,1,1,0,1,0,1
011010011_016.png,0,1,1,0,1,0,0,1,1
100100101_014.png,1,0,0,1,0,0,1,0,1
100110011_003.png,1,0,0,1,1,0,0,1,1
111101010_001.png,1,1,1,1,0,1,0,1,0
001010011_006.png,0,0,1,0,1,0,0,1,1
011100110_005.png,0,1,1,1,0,0,1,1,0
101011111_009.png,1,0,1,0,1,1,1,1,1
010101000_008.png,0,1,0,1,0,1,0,0,0
010010110_009.png,0,1,0,0,1,0,1,1,0
